"job_title_short","total_jobs","avg_salary","max_salary","min_salary","salary_rank","job_rank"
"Senior Data Scientist","2016","154050","890000","45000","1","5"
"Senior Data Engineer","2031","145867","425000","35000","2","4"
"Data Scientist","8584","135929","960000","27000","3","2"
"Data Engineer","6875","130267","525000","15000","4","3"
"Machine Learning Engineer","634","126786","325000","30000","5","8"
"Senior Data Analyst","1494","114104","425000","30000","6","6"
"Software Engineer","589","112778","375000","28000","7","9"
"Cloud Engineer","90","111268","280000","42000","8","10"
"Data Analyst","9756","93876","650000","25000","9","1"
"Business Analyst","1031","91071","387460","16500","10","7"
