"job_title_short","p25","p50","p75","p90","avg_salary","total_jobs"
"Senior Data Scientist","125000","155000","173000","200000","154050","1686"
"Senior Data Engineer","125000","147500","166761","181860","145867","1594"
"Data Scientist","100000","127500","158858","200000","135929","5926"
"Data Engineer","100000","125000","147500","175000","130267","4509"
"Senior Data Analyst","92500","111175","125000","150000","114104","1132"
"Machine Learning Engineer","80850","106000","166000","190000","126786","573"
"Software Engineer","79200","99150","147500","184500","112778","469"
"Data Analyst","70000","90000","111175","132620","93876","5463"
"Cloud Engineer","79200","90000","136000","196500","111268","65"
"Business Analyst","71000","85000","105000","130000","91071","617"
