ID,Job,Schedule,AVG Salary,Posted On,Name of Company
226942,Data Analyst,Full-time,650000,2023-02-20 15:13:33,Mantys
547382,Director of Analytics,Full-time,336500,2023-08-23 12:04:42,Meta
552322,Associate Director- Data Insights,Full-time,255829,2023-06-18 16:03:12,AT&T
99305,"Data Analyst, Marketing",Full-time,232423,2023-12-05 20:00:40,Pinterest Job Advertisements
1021647,Data Analyst (Hybrid/Remote),Full-time,217000,2023-01-17 00:17:23,Uclahealthcareers
168310,Principal Data Analyst (Remote),Full-time,205000,2023-08-09 11:00:01,SmartAsset
731368,"Director, Data Analyst - HYBRID",Full-time,189309,2023-12-07 15:00:13,Inclusively
310660,"Principal Data Analyst, AV Performance Analysis",Full-time,189000,2023-01-05 00:00:25,Motional
1749593,Principal Data Analyst,Full-time,186000,2023-07-11 16:00:05,SmartAsset
387860,ERM Data Analyst,Full-time,184000,2023-06-09 08:01:04,Get It Recruit - Information Technology
